date,day,home_departure_time,home_departure_mileage,work_arrival_time,work_arrival_mileage,comments_from_home_to_work,work_departure_time,work_departure_mileage,home_arrival_time,home_arrival_mileage,comments_from_work_to_home,minutes,departure_hour,mileage_to_work,minutes_to_home,work_departure_time_hr,mileage_to_home
11/20/2023,Mon,2023-11-20 08:24:00,56836.0,2023-11-20 09:31:00,56889.0,,2023-11-20 17:31:00,56889.0,2023-11-20 18:55:00,56942.0,got gas at intersection of Rainier Ave and Airport Way,67.00000000000001,8.4,53.0,84.0,17.51666666666667,53.0
11/28/2023,Tue,2023-11-28 08:54:00,32099.0,2023-11-28 10:23:00,32152.0,foggy weather,2023-11-28 18:14:00,32152.0,2023-11-28 19:26:00,32205.0,,89.0,8.9,53.0,72.0,18.233333333333334,53.0
11/30/2023,Thu,2023-11-30 10:32:00,57059.0,2023-11-30 11:28:00,57112.0,,,,,,,56.0,10.533333333333333,53.0,,,
12/4/2023,Mon,2023-12-04 10:34:00,32338.0,2023-12-04 11:31:00,32390.0,rainy weather,2023-12-04 18:58:00,32390.0,2023-12-04 20:04:00,32444.0,got gas on 302 near 94th Ave NW; rainy weather,57.0,10.566666666666666,52.0,66.00000000000001,18.966666666666665,54.0
12/5/2023,Tue,2023-12-05 10:47:00,32444.0,2023-12-05 11:54:00,32496.0,heavy rain,,,,,,67.00000000000001,10.783333333333333,52.0,,,
12/7/2023,Thu,2023-12-07 09:08:00,32550.0,2023-12-07 10:15:00,32603.0,,2023-12-07 17:30:00,32603.0,2023-12-07 18:58:00,32655.0,,67.00000000000001,9.133333333333333,53.0,88.0,17.500000000000004,52.0
12/11/2023,Mon,2023-12-11 07:57:00,57351.0,2023-12-11 09:10:00,57404.0,,2023-12-11 17:26:00,57404.0,2023-12-11 18:34:00,57456.0,,73.0,7.95,53.0,68.00000000000001,17.433333333333337,52.0
12/12/2023,Tue,2023-12-12 08:19:00,57456.0,2023-12-12 09:43:00,57510.0,,,,,,,84.0,8.316666666666668,54.0,,,
12/13/2023,Wed,2023-12-13 08:26:00,57569.0,2023-12-13 09:30:00,57622.0,,2023-12-13 16:25:00,57622.0,2023-12-13 18:15:00,57675.0,,64.00000000000001,8.433333333333334,53.0,110.0,16.416666666666668,53.0
1/2/2024,Tue,2024-01-02 08:24:00,57811.0,2024-01-02 09:25:00,57863.0,rainy weather,2024-01-02 15:41:00,57863.0,2024-01-02 17:51:00,57916.0,,61.00000000000001,8.4,52.0,130.00000000000003,15.683333333333334,53.0
1/9/2024,Tue,2024-01-09 08:57:00,34271.0,2024-01-09 10:14:00,34324.0,,,,,,,77.0,8.950000000000001,53.0,,,
1/11/2024,Thu,2024-01-11 08:35:00,57916.0,2024-01-11 09:35:00,57970.0,,,,,,,60.0,8.583333333333334,54.0,,,
1/15/2024,Mon,2024-01-15 08:45:00,58058.0,2024-01-15 09:53:00,58112.0,got gas at Gig Harbor Costco,,,,,,68.00000000000001,8.750000000000002,54.0,,,
1/16/2024,Tue,2024-01-16 09:44:00,58167.0,2024-01-16 10:40:00,58220.0,,,,,,,56.0,9.733333333333333,53.0,,,
1/18/2024,Thu,2024-01-18 08:43:00,34784.0,2024-01-18 10:12:00,34838.0,got gas at Gig Harbor Costco,,,,,,89.0,8.716666666666669,54.0,,,
1/22/2024,Mon,2024-01-22 10:35:00,58294.0,2024-01-22 11:34:00,58347.0,,2024-01-22 17:05:00,58347.0,2024-01-22 18:25:00,58400.0,,59.0,10.583333333333334,53.0,80.0,17.083333333333336,53.0
1/23/2024,Tue,2024-01-23 09:33:00,58400.0,2024-01-23 10:44:00,58454.0,got gas at Gig Harbor Costco,,,,,,71.0,9.55,54.0,,,
1/25/2024,Thu,2024-01-25 09:05:00,35548.0,2024-01-25 10:09:00,35601.0,,,,,,,64.00000000000001,9.083333333333334,53.0,,,
1/29/2024,Mon,2024-01-29 07:50:00,58532.0,2024-01-29 09:05:00,58585.0,,2024-01-29 17:18:00,58585.0,2024-01-29 18:23:00,58638.0,,75.0,7.833333333333333,53.0,65.00000000000001,17.3,53.0
1/30/2024,Tue,2024-01-30 08:48:00,58638.0,2024-01-30 09:59:00,58690.0,,2024-01-30 17:41:00,58690.0,2024-01-30 19:30:00,58757.0,stopped by Walmart in Auburn,71.0,8.8,52.0,109.0,17.683333333333337,67.0
2/1/2024,Thu,2024-02-01 08:59:00,35951.0,2024-02-01 10:12:00,36004.0,,2024-02-01 17:16:00,36004.0,2024-02-01 18:37:00,36056.0,,73.0,8.983333333333334,53.0,81.0,17.26666666666667,52.0
2/5/2024,Mon,2024-02-05 06:08:00,58757.0,2024-02-05 07:32:00,58809.0,got gas at ARCO in Tacoma,2024-02-05 15:45:00,58809.0,2024-02-05 17:24:00,58862.0,,84.0,6.133333333333334,52.0,99.0,15.75,53.0
2/6/2024,Tue,2024-02-06 06:27:00,58862.0,2024-02-06 08:13:00,58915.0,,2024-02-06 17:27:00,58915.0,2024-02-06 18:55:00,58968.0,,106.0,6.45,53.0,88.0,17.450000000000003,53.0
